userId,age,gender,country,cluster,medoid
243,13-17,female,Other,0,-1.0
246,18-24,male,Other,0,-1.0
247,55-64,female,Other,1,-1.0
259,45-54,male,Spain,0,-1.0
261,65-70,male,Other,1,-1.0
262,13-17,male,Spain,0,-1.0
263,35-44,female,Spain,0,-1.0
267,35-44,male,USA,1,-1.0
270,<12,female,USA,1,-1.0
275,25-34,male,Spain,1,-1.0
277,25-34,male,Spain,0,-1.0
288,35-44,female,Spain,1,-1.0
289,35-44,male,Spain,0,-1.0
298,45-54,male,Italy,0,-1.0
299,45-54,male,Spain,1,-1.0
300,25-34,female,Spain,1,-1.0
301,45-54,male,Spain,0,-1.0
306,55-64,male,Spain,0,-1.0
