,57726f48edc2cb3880ba012f,57726e34edc2cb3880b62340,57726f56edc2cb3880ba7233,57727c95edc2cb3880e4d1d4,57727016edc2cb3880bceb88,57726f78edc2cb3880baa755,57726f4cedc2cb3880ba07ed,57726f76edc2cb3880baa425,57726f4fedc2cb3880ba0b6d,5772700eedc2cb3880bc836e,57727015edc2cb3880bceb08,57726f77edc2cb3880baa4c5,57726e45edc2cb3880b69781,57727c88edc2cb3880e4be65,57727cbaedc2cb3880e561f7,57727d14edc2cb3880e6926e,57726fffedc2cb3880bc69d6,57727d5cedc2cb3880e751a0,57727c2eedc2cb3880e392f5,57726f59edc2cb3880ba76b3,577271fdedc2cb3880c384cc,57727015edc2cb3880bceb28,57727071edc2cb3880be3213,57726e37edc2cb3880b628ee,57726f49edc2cb3880ba034f,577278d5edc2cb3880d94196,5772752eedc2cb3880cd9f38,57727c2eedc2cb3880e39405,577278cdedc2cb3880d9370c,5772700eedc2cb3880bc82ce
57727015edc2cb3880bceb08,0.19,0.85,0.51,0.7,0.42,0.82,0.63,0.32,0.74,0.99,1.0,0.49,0.98,0.96,0.93,0.66,0.58,0.6,0.71,0.44,0.79,0.93,0.76,0.64,0.85,0.36,0.45,0.76,0.72,0.14
57726f77edc2cb3880baa4c5,0.34,0.6,0.89,0.52,0.86,0.57,0.64,0.47,0.62,0.5,0.49,1.0,0.5,0.46,0.52,0.66,0.85,0.52,0.55,0.89,0.61,0.55,0.63,0.53,0.57,0.84,0.8,0.73,0.6,0.65
57726e45edc2cb3880b69781,0.21,0.87,0.52,0.72,0.43,0.84,0.65,0.34,0.76,0.99,0.98,0.5,1.0,0.96,0.91,0.68,0.6,0.62,0.73,0.45,0.81,0.94,0.78,0.66,0.87,0.37,0.46,0.76,0.74,0.15
57727c88edc2cb3880e4be65,0.18,0.83,0.47,0.7,0.38,0.81,0.62,0.31,0.73,0.96,0.96,0.46,0.96,1.0,0.89,0.65,0.55,0.6,0.71,0.41,0.77,0.9,0.75,0.64,0.84,0.33,0.42,0.72,0.71,0.11
57727cbaedc2cb3880e561f7,0.15,0.82,0.51,0.64,0.46,0.77,0.6,0.28,0.7,0.92,0.93,0.52,0.91,0.89,1.0,0.63,0.59,0.55,0.66,0.45,0.75,0.88,0.73,0.58,0.8,0.38,0.45,0.78,0.68,0.17
57727d14edc2cb3880e6926e,0.51,0.81,0.74,0.86,0.53,0.83,0.96,0.65,0.92,0.67,0.66,0.66,0.68,0.65,0.63,1.0,0.81,0.86,0.88,0.68,0.87,0.74,0.9,0.87,0.81,0.6,0.74,0.76,0.92,0.34
57726fffedc2cb3880bc69d6,0.44,0.72,0.92,0.67,0.72,0.7,0.79,0.58,0.76,0.59,0.58,0.85,0.6,0.55,0.59,0.81,1.0,0.67,0.69,0.85,0.74,0.65,0.76,0.68,0.69,0.77,0.86,0.79,0.74,0.53
57727d5cedc2cb3880e751a0,0.58,0.73,0.61,0.9,0.39,0.78,0.88,0.7,0.84,0.61,0.6,0.52,0.62,0.6,0.55,0.86,0.67,1.0,0.89,0.56,0.8,0.67,0.81,0.97,0.75,0.49,0.64,0.62,0.86,0.23
57727c2eedc2cb3880e392f5,0.47,0.83,0.62,0.97,0.43,0.88,0.88,0.6,0.92,0.72,0.71,0.55,0.73,0.71,0.66,0.88,0.69,0.89,1.0,0.56,0.89,0.78,0.9,0.93,0.85,0.48,0.62,0.7,0.95,0.23
57726f59edc2cb3880ba76b3,0.44,0.57,0.94,0.54,0.77,0.55,0.67,0.57,0.62,0.45,0.44,0.89,0.45,0.41,0.45,0.68,0.85,0.56,0.56,1.0,0.6,0.51,0.62,0.56,0.54,0.92,0.9,0.67,0.61,0.67
577271fdedc2cb3880c384cc,0.39,0.93,0.66,0.87,0.5,0.95,0.84,0.53,0.95,0.79,0.79,0.61,0.81,0.77,0.75,0.87,0.74,0.8,0.89,0.6,1.0,0.86,0.97,0.83,0.93,0.51,0.63,0.8,0.93,0.27
57727015edc2cb3880bceb28,0.26,0.93,0.57,0.76,0.47,0.89,0.7,0.39,0.81,0.93,0.93,0.55,0.94,0.9,0.88,0.74,0.65,0.67,0.78,0.51,0.86,1.0,0.84,0.7,0.92,0.43,0.52,0.81,0.79,0.2
57727071edc2cb3880be3213,0.42,0.91,0.68,0.87,0.51,0.93,0.87,0.56,0.97,0.77,0.76,0.63,0.78,0.75,0.73,0.9,0.76,0.81,0.9,0.62,0.97,0.84,1.0,0.84,0.91,0.54,0.66,0.81,0.94,0.29
57726e37edc2cb3880b628ee,0.54,0.76,0.62,0.93,0.4,0.81,0.89,0.67,0.87,0.64,0.64,0.53,0.66,0.64,0.58,0.87,0.68,0.97,0.93,0.56,0.83,0.7,0.84,1.0,0.78,0.49,0.63,0.65,0.89,0.23
57726f49edc2cb3880ba034f,0.34,0.96,0.61,0.84,0.47,0.97,0.78,0.47,0.89,0.86,0.85,0.57,0.87,0.84,0.8,0.81,0.69,0.75,0.85,0.54,0.93,0.92,0.91,0.78,1.0,0.46,0.57,0.8,0.87,0.22
577278d5edc2cb3880d94196,0.42,0.49,0.85,0.46,0.76,0.47,0.59,0.53,0.54,0.37,0.36,0.84,0.37,0.33,0.38,0.6,0.77,0.49,0.48,0.92,0.51,0.43,0.54,0.49,0.46,1.0,0.84,0.59,0.53,0.74
5772752eedc2cb3880cd9f38,0.54,0.59,0.9,0.6,0.67,0.59,0.74,0.67,0.67,0.46,0.45,0.8,0.46,0.42,0.45,0.74,0.86,0.64,0.62,0.9,0.63,0.52,0.66,0.63,0.57,0.84,1.0,0.65,0.66,0.59
57727c2eedc2cb3880e39405,0.28,0.84,0.73,0.68,0.66,0.78,0.72,0.43,0.78,0.76,0.76,0.73,0.76,0.72,0.78,0.76,0.79,0.62,0.7,0.67,0.8,0.81,0.81,0.65,0.8,0.59,0.65,1.0,0.75,0.38
577278cdedc2cb3880d9370c,0.46,0.86,0.67,0.92,0.48,0.9,0.9,0.6,0.97,0.73,0.72,0.6,0.74,0.71,0.68,0.92,0.74,0.86,0.95,0.61,0.93,0.79,0.94,0.89,0.87,0.53,0.66,0.75,1.0,0.27
5772700eedc2cb3880bc82ce,0.22,0.25,0.61,0.2,0.69,0.23,0.34,0.31,0.29,0.15,0.14,0.65,0.15,0.11,0.17,0.34,0.53,0.23,0.23,0.67,0.27,0.2,0.29,0.23,0.22,0.74,0.59,0.38,0.27,1.0
